P: ARGENTINA; CANADÁ; GRUPO; ATLANTA; MERCEDES-BENZ; 2; 0
P: CHILE; PERÚ; GRUPO; MIAMI; HARD ROCK STADIUM; 1; 1
P: ARGENTINA; CHILE; GRUPO; SEATTLE; LUMEN FIELD; 3; 1
P: CANADÁ; PERÚ; GRUPO; HOUSTON; NRG STADIUM; 1; 2
P: ARGENTINA; PERÚ; GRUPO; WASHINGTON; FEDEXFIELD; 1; 0
P: CANADÁ; CHILE; GRUPO; DETROIT; FORD FIELD; 1; 3
P: VENEZUELA; ECUADOR; GRUPO; NEW YORK; METLIFE STADIUM; 0; 3
P: MÉXICO; JAMAICA; GRUPO; LAS VEGAS; ALLEGIANT STADIUM; 1; 2
P: VENEZUELA; MÉXICO; GRUPO; LOS ANGELES; SOFI STADIUM; 2; 0
P: ECUADOR; JAMAICA; GRUPO; ORLANDO; EXPLORIA STADIUM; 1; 1
P: URUGUAY; PARAGUAY; GRUPO; CHICAGO; SOLDIER FIELD; 2; 1
P: BOLIVIA; ESTADOS UNIDOS; GRUPO; BOSTON; GILLETTE STADIUM; 0; 4
P: COLOMBIA; BRASIL; GRUPO; SAN FRANCISCO; LEVI'S STADIUM; 1; 3
P: COSTA RICA; PANAMÁ; GRUPO; DALLAS; AT&T STADIUM; 2; 2
P: COLOMBIA; COSTA RICA; GRUPO; CHARLOTTE; BANK OF AMERICA STADIUM; 2; 1
P: BRASIL; PANAMÁ; GRUPO; PHILADELPHIA; LINCOLN FINANCIAL FIELD; 3; 0
P: ARGENTINA; JAMAICA; CUARTOS; SEATTLE; LUMEN FIELD; 2; 1
P: VENEZUELA; BRASIL; CUARTOS; MIAMI; HARD ROCK STADIUM; 1; 0
P: PERÚ; ESTADOS UNIDOS; CUARTOS; NEW YORK; METLIFE STADIUM; 1; 2
P: ECUADOR; CHILE; CUARTOS; HOUSTON; NRG STADIUM; 1; 3
P: ARGENTINA; ESTADOS UNIDOS; SEMIFINAL; LOS ANGELES; SOFI STADIUM; 3; 2
P: VENEZUELA; CHILE; SEMIFINAL; DALLAS; AT&T STADIUM; 2; 1
P: ESTADOS UNIDOS; CHILE; TERCER LUGAR; BOSTON; GILLETTE STADIUM; 1; 0
P: ARGENTINA; VENEZUELA; FINAL; ATLANTA; MERCEDES-BENZ; 3; 1
